product_id,label,manufacturer,certificate_status,ingredients,cluster,umap_1,umap_2
365_everyday_value_whole_foods_market_apple_cereal_bars_apple,365 everyday value whole foods market apple cereal bars apple,;,NoCertificate,"Milk,niacinamide,Riboflavin,Organic_Wheat_Flour,organic_honey,Pectin,organic_evaporated_sugar,soy_lecithincarrageenan,vitamin_b2,Sea_Salt,vitamin_b1,evaporated_apple,thiamine,Tapioca_Starch,organic_wheat_gluten,pear,vitamin,organic_nonfat_milksodium_bicarbonate,Cinnamon,Turmeric,grain_rolled_oat,vitamin_b9,Locust_bean_gum,hydrochloride,organic_invert_sugar,pyridoxine_hydrochloride,Pineapple,organic_expeller_pressed_soybean_oil,color,Flavour,apple,peach,organic_oat_flour,vegetable_glycerin,cyanocobalamin,vitamin_b3,fruit_juice_concentrate,Folic_Acid,Citric_acid",3,0.8779491,14.530186
365_everyday_value_whole_foods_market_inc_fully_cooked_uncured_beef_hot_dogs,365 everyday value whole foods market inc fully cooked uncured beef hot dogs,;,NoCertificate,"white_pepper,Vinegar,Ginger,nutmeg,Water,Black_Pepper,cherry_powder,Paprika,Sea_Salt,Sugar,organic_sugar,Celery_Powder,Garlic_Powder,Beef",0,1.8815401,8.301013
365_everyday_value_whole_foods_market_inc_macadamia_nuts,365 everyday value whole foods market inc macadamia nuts,;,NoCertificate,"Sea_Salt,adamia_nut,expeller_pressed_canola_oil",1,-0.62408286,6.931277
365_everyday_value_whole_foods_market_inc_mini_corn_dogs,365 everyday value whole foods market inc mini corn dogs,;,NoCertificate,"Riboflavin,Sugar,Folic_Acid,Reduced_Iron,cornmeal,yell,Water,thiamine_rate,unbleached_wheat_flour,Niacin,batter,Wheat_Flour,degermed_yellow_cornmeal,Riboflavin,Sugar,Folic_Acid,Reduced_Iron,cornmeal,yell,Water,thiamine_rate,unbleached_wheat_flour,Niacin,batter,Wheat_Flour,degermed_yellow_cornmeal",3,1.43407,15.714279
365_everyday_value_whole_foods_market_inc_organic_cocoa_powder,365 everyday value whole foods market inc organic cocoa powder,;,NoCertificate,alkali,6,-5.3340683,-12.1807165
365_everyday_value_whole_foods_market_inc_sweetened_banana_chips,365 everyday value whole foods market inc sweetened banana chips,;,NoCertificate,"Banana,expeller_pressed_coconut_oil,banana_flavour,Sugar",7,0.35789937,-3.318468
365_everyday_value_whole_foods_market_inc_uncured_beef_hot_dogs,365 everyday value whole foods market inc uncured beef hot dogs,;,NoCertificate,"Vinegar,Water,soy,Sugar,Celery_Powder,Beef,Flavour,cherry_powder,Garlic,Onion,Sea_Salt",0,3.3052063,8.2701
365_everyday_value_whole_foods_market_ip_lp_banana_slices,365 everyday value whole foods market ip lp banana slices,;,NoCertificate,"Citric_acid,Banana",1,-5.0942397,5.008778
365_everyday_value_whole_foods_market_ip_lp_traditional_basil_pesto,365 everyday value whole foods market ip lp traditional basil pesto,;,NoCertificate,"Milk,Sea_Salt,Cheese,cow,extra_virgin_olive_oil,Salt,Potato_Starch,expeller_pressed_sunflower_seed_oil,Garlic,cashews,sheep,Lactic_acid,basil,Milk,Sea_Salt,Cheese,cow,extra_virgin_olive_oil,Salt,Potato_Starch,expeller_pressed_sunflower_seed_oil,Garlic,cashews,sheep,Lactic_acid,basil",0,-0.45749968,10.222111
365_jus_de_pomme_a_base_de_concentre,365 jus de pomme a base de concentre,;,NoCertificate,"apple_juice,mushroom_barley,apple_juice_tb_concentrated,fridge",4,-9.098907,4.5803437
